county,adults on arts males,adults on arts females,total adults on arts,aids related deaths(all),aids related deaths (adult),aids related deaths(children),deaths 10-19 years (adolescents),deaths 15-24 years (young adults),children on art,prevention of mother to child transmission need,prevention of mother to child transmission receiving,pmct coverage,mother to child transmission rate,new hiv infections,new infections(male),new infections(female),new infections(children 0-14years),new infections(adult 15+years),new infections(male 15+years),new infections(female 15+years),new infections(15-24 years),new infections(male 15-24 years),new infections(female 15-24 years),new infections(15-49),new infections(male) 15-49,new infections(female) 15-49,new infections(10-19),plhiv(all sexes),plhiv(children 0-14years),plhiv(adult 15+years),plhiv(adult 15+years) male,plhiv(adult 15+years) female,plhiv(15-24 years),plhiv(15-24 years)- male,plhiv(15-24 years)- female,plhiv adolescents (10-19),hiv prevelance(all sexes),hiv prevelance(male),hiv prevelance(female),incidence (per 1000),valid vl <15yrs,suppressed <15yrs,valid vl 15+male,suppressed 15+male,valid vl 15+female,suppressed 15+female
Wajir,108,223,331,54,37,17,4,4,17,253,11,0.0434,0.3343,32,17,15,20,12,6,6,4,2,3,12,6,6,2,701,113,588,225,363,82,38,44,71,0.0011,0.0008,0.0014,0.03,3,2,17,15,60,57
Kiambu,14208,30597,44805,730,648,85,58,74,1142,1588,1333,0.8395,0.1041,660,190,470,120,540,129,411,204,39,166,500,123,380,80,63420,2435,60984,20743,40241,4693,1919,2774,3500,0.0248,0.015600000000000001,0.034,0.28,217,192,6428,6284,13917,13626
Turkana,3739,6412,10151,562,499,70,31,52,805,653,564,0.8633,0.0972,469,172,296,107,362,119,244,154,38,116,347,112,235,60,16925,1013,15912,5270,10642,2263,918,1345,1300,0.0219,0.013600000000000001,0.031,0.58,385,332,2380,2207,4170,3892
Machakos,9633,21538,31171,642,589,51,31,50,1028,703,807,1.1477,0.061200000000000004,353,103,250,83,270,63,208,97,14,83,254,57,197,34,35035,1383,33652,10536,23116,2725,1031,1694,1800,0.0236,0.0139,0.032799999999999996,0.23,448,400,4525,4382,11282,10959
Nyandarua,3568,7363,10931,87,77,11,9,11,341,388,346,0.8926999999999999,0.0887,58,17,41,14,44,10,34,17,3,14,39,9,30,8,7574,301,7273,2491,4781,724,319,406,500,0.011399999999999999,0.0073,0.0154,0.09,230,202,2850,2672,6205,5906
Nairobi,60331,118082,178413,1267,866,401,104,143,3674,6532,5684,0.8702,0.0952,3045,931,2113,386,2658,736,1922,814,117,697,2500,700,1900,304,151916,8160,143756,41985,101771,14735,4932,9804,10000,0.0369,0.021099999999999997,0.0504,0.81,2631,2405,46600,44848,96027,92868
Laikipia,3135,6822,9957,200,181,17,7,12,354,295,271,0.9177,0.0814,112,42,70,27,85,28,57,29,6,23,78,25,53,12,6022,249,5773,2048,3724,510,201,309,285,0.0118,0.0078,0.0159,0.21,192,180,2177,2092,4899,4727
Mombasa,17051,35105,52156,942,798,137,44,68,1190,1526,1247,0.8173,0.1105,817,289,528,213,604,182,422,206,37,170,600,169,407,68,56121,2535,53586,16159,37427,3882,1320,2563,2400,0.0455,0.024700000000000003,0.0669,0.64,442,380,7591,7243,16497,15861
Nyamira,4964,10936,15900,155,139,14,9,17,629,579,423,0.7311,0.1354,173,60,113,27,146,46,100,62,14,48,135,43,92,33,14791,582,14208,4618,9591,1460,597,863,800,0.026699999999999998,0.0165,0.0362,0.35,231,216,3165,3051,7181,6969
Nakuru,14733,31484,46217,1698,1534,156,60,103,1580,1571,1693,1.0776999999999999,0.061200000000000004,819,308,511,238,581,187,394,212,45,167,500,172,376,78,51139,2278,48861,16566,32295,4439,1714,2724,2500,0.0242,0.0155,0.0327,0.35,836,768,10937,10550,24752,24047
Uasin Gishu,11357,22786,34143,1026,928,92,36,67,941,869,604,0.6949,0.1459,532,193,340,131,401,128,274,155,32,123,382,119,263,55,30887,1335,29552,10535,19017,2909,1086,1823,1500,0.0271,0.0184,0.0356,0.45,823,755,10291,9861,21029,20273
Isiolo,766,1300,2066,44,39,5,3,5,103,406,101,0.2489,0.2749,39,12,27,10,29,7,22,12,2,10,28,6,21,4,2385,142,2242,863,1380,284,118,165,201,0.0108,0.0073,0.014499999999999999,0.16,41,33,181,167,488,446
Kajiado,5854,13468,19322,807,726,81,28,47,754,734,928,1.2638,0.061200000000000004,469,178,291,132,338,111,227,119,24,95,323,104,219,37,24307,1178,23129,7239,15890,2015,720,1295,1200,0.0229,0.013500000000000002,0.0323,0.4,484,410,4529,4294,10946,10486
Bungoma,8330,21407,29737,503,414,96,34,53,1418,1721,1200,0.6973999999999999,0.1452,679,245,434,233,446,129,317,192,44,148,425,124,301,86,38481,2449,36032,12342,23690,4168,1689,2479,2800,0.0255,0.0168,0.0339,0.39,609,549,5204,4824,13571,12816
Nandi,3995,9057,13052,474,428,44,19,35,502,473,342,0.7231000000000001,0.1377,308,109,199,63,245,77,168,94,19,75,230,71,160,39,14277,636,13640,4899,8741,1496,577,919,800,0.0173,0.0118,0.0227,0.38,312,277,3112,2975,7254,6975
Kisumu,38309,72358,110667,1166,1050,107,60,135,3814,3252,3229,0.9929000000000001,0.059699999999999996,1341,473,869,225,1116,361,755,549,126,423,1100,348,700,265,111367,4373,106994,38749,68245,11478,4455,7023,5900,0.1096,0.0783,0.1389,1.53,2042,1781,27742,25678,53732,50674
Meru,7195,15151,22346,439,403,35,23,39,937,926,602,0.6502,0.1588,331,100,231,60,271,69,202,97,15,82,254,62,192,37,23944,960,22983,8212,14771,2096,823,1273,1400,0.015300000000000001,0.0097,0.0213,0.22,481,422,4527,4270,10019,9529
Mandera,365,465,830,101,69,34,8,9,31,49,11,0.2228,0.2824,67,33,33,46,21,11,10,8,3,5,20,10,10,3,1322,228,1093,440,654,170,77,93,148,0.002,0.0016,0.0024,0.04,0,0,0,0,0,0
Garissa,463,1079,1542,143,100,41,9,11,65,156,62,0.3985,0.2316,71,36,35,42,29,15,14,11,4,7,27,14,13,4,1862,274,1588,559,1029,208,96,113,165,0.0018,0.0013,0.0023,0.04,55,45,293,275,759,710
Nyeri,5917,12437,18354,196,175,19,14,19,316,334,343,1.0265,0.061200000000000004,128,36,92,24,103,24,80,36,7,29,89,21,68,18,17044,548,16496,5693,10802,1221,521,700,900,0.024,0.0152,0.032799999999999996,0.2,94,91,3656,3567,8053,7912
Makueni,7000,16885,23885,335,307,28,19,32,857,487,579,1.1895,0.061200000000000004,199,58,142,43,156,36,120,59,9,50,145,32,113,26,18264,747,17517,5408,12108,1735,675,1060,1100,0.0183,0.010700000000000001,0.0258,0.2,331,273,3340,3103,8665,8205
Kirinyaga,3978,8639,12617,132,118,13,9,13,258,255,364,1.429,0.061200000000000004,91,25,65,16,75,17,57,25,5,20,66,16,50,12,11491,361,11129,3718,7412,799,330,469,600,0.0167,0.0102,0.0233,0.14,67,60,2523,2463,5589,5456
Muranga,5631,11959,17590,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,74,3067,2974,6903,6733
Siaya,29801,57570,87371,863,774,86,51,105,3603,3087,3483,1.1281,0.061200000000000004,873,302,571,169,704,217,488,340,78,262,700,206,447,180,82414,3508,78906,28418,50488,8937,3747,5190,5000,0.0975,0.0713,0.12179999999999999,1.17,2782,2316,27140,24147,52874,48791
Kakamega,13553,33042,46595,675,557,123,43,68,2140,1833,1913,1.0439,0.061200000000000004,835,311,524,282,553,165,387,229,55,174,500,158,363,105,51604,3122,48482,16811,31671,5329,2257,3072,3500,0.0298,0.0195,0.0404,0.42,1167,1057,9607,9047,23799,22736
Busia,11865,24369,36234,564,472,82,29,54,1204,1191,1157,0.9714,0.0659,886,299,586,196,690,199,490,301,70,230,700,192,462,135,43155,2078,41077,19653,21424,4281,1965,2316,2400,0.053099999999999994,0.048799999999999996,0.057300000000000004,1.14,649,583,8586,7888,18311,17262
